"#","Establishment Name","Training Course","Min. Qualification for Course","Training Duration (Months)","Prescribed Min. Stipend (Monthly)","No. of Vacancies","Training Location (District)"
"261","VARDHMAN TEXTILES LIMITED","Electrician","12th","12 months","₹ 8000","25","Budni (SEHORE)"
"262","ADITI ELECTRICALS","Electrical Winder","12th","12 months","₹ 8000","25","JABALPUR  (JABALPUR)"
"263","BIO SPUN PRIVATE LIMITED","Draw Frame Operator | V 3.0","12th","12 months","₹ 8000","25","Pithampur  (DHAR)"
"264","LCC PROJECTS PRIVATE LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","25","MANDSAUR (MANDSAUR)"
"265","SUN PHARMACEUTICAL INDUSTRIES LTD","Production Machine Operator-Non-Sterile Formulation: Granulation, Packaging- Tablets and Capsules","12th","12 months","₹ 8000","25","Dewas (DEWAS)"
"266","VARDHMAN TEXTILES LIMITED","Fitter","12th","12 months","₹ 8000","25","Budni (SEHORE)"
"267","PRAKHAR SOFTWARE SOLUTIONS PRIVATE LIMITED","Warehouse Picker-3.0","12th","06 months","₹ 8000","25","Ambala (AMBALA)"
"268","SARVAJANIK JAN KALYAN PARMARTHIK NYAS","Trainee Staff Nurse","Diploma (Non-Engineering)","12 months","₹ 9000","25","BHOPAL (BHOPAL)"
"269","SARVAJANIK JAN KALYAN PARMARTHIK NYAS","Trainee Staff Nurse","Diploma (Non-Engineering)","12 months","₹ 9000","25","BHOPAL (BHOPAL)"
"270","INNOVISION LIMITED","Security Guard","12th","12 months","₹ 8000","25","Indore (BHOPAL)"
"271","HINDUSTAN UNILEVER LIMITED","Fitter","12th","12 months","₹ 8000","24","CHHINDWARA (CHHINDWARA)"
"272","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","24","BHOPAL (BHOPAL)"
"273","INOX WORKS & CONSULTANT PRIVATE LIMITED","Helper - Utility Hand Plant Operations","12th","09 months","₹ 8000","24","Indore (INDORE)"
"274","IRCLASS SYSTEMS AND SOLUTIONS PRIVATE LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","23","VIDISHA (VIDISHA)"
"275","TATA PROJECTS LIMITED","Helper Shuttering Carpenter","12th","12 months","₹ 8000","23","SAGAR BINA (SAGAR)"
"276","TRIDENT LIMITED","Spinning Technician","12th","12 months","₹ 8000","23","BUDHNI (SEHORE)"
"277","VINDHYA TELELINKS LIMITED","Industrial and Production Engineering","Graduate(Enginnering)","12 months","₹ 10000","22","REWA (REWA)"
"278","SOLIS HYGIENE PRIVATE LIMITED","Packer","12th","12 months","₹ 8000","22","PITHAMPUR (DHAR)"
"279","RAVINDRA KUMAR PANDEY","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","22","MANDSAUR (MANDSAUR)"
"280","TATA PROJECTS LIMITED","Construction Fitter","12th","12 months","₹ 8000","22","BHIND (BHIND)"
"281","SATISFACTION PRODUCTS PRIVATE LIMITED","Sheet Metal Worker","12th","12 months","₹ 8000","22","INDORE (INDORE)"
"282","SAFEFLEX INTERNATIONAL LIMITED","Winder (Textile)","12th","06 months","₹ 8000","22","PITHAMPUR (DHAR)"
"283","ARIHANT CAPITAL MARKETS LTD.","Business Correspondent/Facilitator v4.0","12th","12 months","₹ 8000","21","INDORE (INDORE)"
"284","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","21","KATNI (KATNI)"
"285","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","21","NARSINGHPUR (NARSINGHPUR)"
"286","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","21","SINGRAULI (SINGRAULI)"
"287","CALDERYS INDIA REFRACTORIES LIMITED","Mining and Mineral Processing","Graduate(Enginnering)","12 months","₹ 10000","21","Katni (KATNI)"
"288","JYOTHY LABS LIMITED","Process Plant Operator","12th","12 months","₹ 8000","21","PITHAMPUR (INDORE)"
"289","JAY BHARAT MARUTI LTD","Mechanical Engineering","Diploma (Engineering)","12 months","₹ 9000","20","GURGAON (GURUGRAM)"
"290","SANGHI BROTHERS ( INDORE ) PRIVATE LIMITED","Mechanic (Motor Vehicle)","12th","12 months","₹ 8000","20","BHOPAL (BHOPAL)"
"291","SANGHI BROTHERS ( INDORE ) PRIVATE LIMITED","Mechanic (Motor Vehicle)","12th","12 months","₹ 8000","20","UJJAIN (UJJAIN)"
"292","FORCE MOTORS LIMITED","Mechanic Auto Electrical and Electronics","12th","12 months","₹ 8000","20","Pithampur  (DHAR)"
"293","SANGHI BROTHERS ( INDORE ) PRIVATE LIMITED","Mechanic (Motor Vehicle)","12th","12 months","₹ 8000","20","INDORE (INDORE)"
"294","RMJ MOTORS PRIVATE LIMITED","Mechanic Diesel","12th","12 months","₹ 8000","20","Bhopal (BHOPAL)"
"295","VE COMMERCIAL VEHICLES LIMITED","Mechanic (Denting, Painting and Welding)","12th","12 months","₹ 8000","20","PITHAMPUR (DHAR)"
"296","SODEXO INDIA SERVICES PRIVATE LIMITED","Housekeeping Trainee v 2.0","12th","12 months","₹ 8000","20","Pithampur (DHAR)"
"297","DILIP BUILDCON LIMITED","Helper Mason","12th","12 months","₹ 8000","20","Manasa (NEEMUCH)"
"298","KEC INTERNATIONAL LIMITED","Helper Mason","12th","12 months","₹ 8000","20","SATNA (SATNA)"
"299","DEEPAK FASTENERS LIMITED","Machinist","12th","12 months","₹ 8000","20","Sehore (SEHORE)"
"300","VE COMMERCIAL VEHICLES LIMITED","Machinist (Grinder)","12th","12 months","₹ 8000","20","Dewas (DEWAS)"
"301","MG INDUSTRIES PRIVATE LIMITED","Junior Rubber_Technician/Technical Assistant","12th","12 months","₹ 8000","20","MALANPUR  (BHIND)"
"302","OSWAL COMPUTERS AND CONSULTANTS PRIVATE LIMITED","Junior Software Developer_V3","12th","09 months","₹ 8000","20","Indore (INDORE)"
"303","HEALTHICO QUALITY PRODUCTS PRIVATE LIMITED","Marketing Associate Training","Graduate(Non-Engineering)","06 months","₹ 10000","20","Pithampur (DHAR)"
"304","KJS CEMENT (I) LIMITED","Marketing Associate Training","Graduate(Non-Engineering)","06 months","₹ 10000","20","Maihar (SATNA)"
"305","NAUGHTY FOODS PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","20","INDORE (INDORE)"
"306","ARIBA FOODS PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","20","UJJAIN (UJJAIN)"
"307","ASHA CONFECTIONERY","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","20","INDORE (AGAR MALWA)"
"308","MAYA NUTRIFOODS PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","20","khandwa (KHANDWA)"
"309","GRAINTECH FOODS (INDIA) PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","20","malanpur  (BHIND)"
"310","M/S A TO Z INDUSTRIAL SERVICES","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","20","Confectionery Park Rau Indore (INDORE)"
"311","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Office Operations Executive(Back Office)","12th","12 months","₹ 8000","20","Corporate Office  (INDORE)"
"312","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Office Operations Executive(Back Office)","12th","12 months","₹ 8000","20","City Circle Indore (INDORE)"
"313","RATAN EMPORIUM SECURITY SERVICES","Office Operations Executive(Back Office)","12th","12 months","₹ 8000","20","indore (INDORE)"
"314","BALAJI SECURITY SERVICES PRIVATE LIMITED","Optical Fiber Technician V4.0","12th","12 months","₹ 8000","20","INDORE (INDORE)"
"315","WORTH PERIPHERALS LIMITED UNIT-2","Process Plant Operator","12th","12 months","₹ 8000","20","PITHAMPUR (DHAR)"
"316","SWARA BABY PRODUCTS PRIVATE LIMITED","Quality Assurance Assistant","12th","12 months","₹ 8000","20","Pithampur (DHAR)"
"317","GABRIEL INDIA LIMITED","Quality Assurance Assistant","12th","12 months","₹ 8000","20","Dewas (DEWAS)"
"318","ACE INFOTEXIS PRIVATE LIMITED","Recruitment Executive -HR","Graduate(Non-Engineering)","12 months","₹ 10000","20","Bhopal (BHOPAL)"
"319","JCB INDIA LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","20","Mahinda SEZ  (JAIPUR)"
"320","BUREAU VERITAS INDIA PRIVATE LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","20","Varies (KOLKATA)"
"321","BUREAU VERITAS INDIA PRIVATE LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","20","Hyderabad (HYDERABAD)"
"322","DECCAN TECHNOSECURITY & UTILITYSERVICES PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","20","indore (INDORE)"
"323","SHRI SHARMA AYURVED MANDIR","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","20","DATIA (DATIA)"
"324","TULSYAN SECURITY SERVICES PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","20","Indore (INDORE)"
"325","SARVAJANIK JAN KALYAN PARMARTHIK NYAS","General Duty Assistant V2.0","12th","12 months","₹ 8000","20","BHOPAL (BHOPAL)"
"326","SODEXO INDIA SERVICES PRIVATE LIMITED","General Duty Assistant V2.0","12th","12 months","₹ 8000","20","Pithampur (DHAR)"
"327","TATA PROJECTS LIMITED","Helper Bar Bender and Steel Fixer","12th","12 months","₹ 8000","20","SAGAR  (SAGAR)"
"328","TATA PROJECTS LIMITED","Helper Construction Painter","12th","12 months","₹ 8000","20","SAGAR  (SAGAR)"
"329","MAJOR SECURITY & INTELLIGENCE SERVICES PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","20","INDORE (INDORE)"
"330","SAYAJI HOTELS LIMITED","Guest Service Associate (Housekeeping) v 2.0","12th","12 months","₹ 8000","20","INDORE (INDORE)"
"331","HEG LIMITED","Fitter (Steel Plant)","12th","12 months","₹ 8000","20","Bhopal (RAISEN)"
"332","RATAN EMPORIUM SECURITY SERVICES","Food & Beverage Service Assistant V 2.0","12th","12 months","₹ 8000","20","Bhopal (BHOPAL)"
"333","PRAGATI GLASS & INDUSTRIES PRIVATE LIMITED","Fitter","12th","12 months","₹ 8000","20","KHARACH (BHARUCH)"
"334","RATAN EMPORIUM SECURITY SERVICES","Facility Management Executive V 2.0","Diploma (Non-Engineering)","12 months","₹ 9000","20","Bhopal (BHOPAL)"
"335","T & M SERVICES CONSULTING PRIVATE LIMITED","Electrician - Domestic Solutions","12th","12 months","₹ 8000","20","SHAJAPUR (SHAJAPUR)"
"336","HEG LIMITED","Electrician (Steel Plant)","12th","12 months","₹ 8000","20","Bhopal (RAISEN)"
"337","APPALTO ELECTRONICS PRIVATE LIMITED","Electronic Mechanic","12th","12 months","₹ 8000","20","Indore (INDORE)"
"338","AISECT LIMITED","Customer Care Executive-Domestic- Voice_V3","12th","12 months","₹ 8000","20","Bhopal (BHOPAL)"
"339","RATAN EMPORIUM SECURITY SERVICES","Dairy Processing EquipmentOperator","12th","09 months","₹ 8000","20","Sagar (SAGAR)"
"340","INOX WORKS & CONSULTANT PRIVATE LIMITED","Assistant - Machinist - Iron and Steel","12th","12 months","₹ 8000","20","Indore (INDORE)"
"341","LARSEN & TOUBRO LIMITED","Assistant Bar Bender & Steel Fixer","12th","12 months","₹ 8000","20","Dewas (DEWAS)"
"342","LARSEN & TOUBRO LIMITED","Assistant Bar Bender & Steel Fixer","12th","12 months","₹ 8000","20","Kukshi (DHAR)"
"343","CASE NEW HOLLAND CONSTRUCTION EQUIPMENT (INDIA) PRIVATE LIMITED","Automotive Accessory Fitter","12th","12 months","₹ 8000","20","pithampur (DHAR)"
"344","JCB INDIA LIMITED","Automobile Engineering","Diploma (Engineering)","12 months","₹ 9000","20","Mahinda SEZ  (JAIPUR)"
"345","JAY BHARAT MARUTI LTD","Automotive Body Painting Technician","12th","12 months","₹ 8000","20","GURGAON (GURUGRAM)"
"346","NAHAR SPINNING MILLS LTD.","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","20","SIMRAI MANDIDEEP (RAISEN)"
"347","GLENMARK PHARMACEUTICALS LTD","Assistant- Secondary & Tertiary Packaging (Pharma, Biologics and Medical device)","12th","06 months","₹ 8000","20","Pithampur (DHAR)"
"348","JBM AUTO LIMITED","Automotive Welding Machine Operator (Manual and Robotics)","12th","12 months","₹ 8000","20","FARIDABAD (FARIDABAD)"
"349","DIVERSITECH GENERAL ENGINEERING PRIVATE LIMITED","Automotive Welding Machine Operator (Manual and Robotics)","12th","12 months","₹ 8000","20","PITHAMPUR (DHAR)"
"350","DIVERSITECH GENERAL ENGINEERING PRIVATE LIMITED","Automotive Welding Machine Assistant","12th","09 months","₹ 8000","20","PITHAMPUR (DHAR)"
"351","MAHLE ENGINE COMPONENTS INDIA PRIVATE LIMITED","Automotive Quality Control Assistant","12th","12 months","₹ 8000","20","Pithampur (DHAR)"
"352","VARROC POLYMERS LIMITED","Automotive Plastic Moulding Technician","12th","12 months","₹ 8000","20","PITHAMPUR (DHAR)"
"353","MAHLE ENGINE COMPONENTS INDIA PRIVATE LIMITED","Automotive Maintenance Technician-Electrical","12th","12 months","₹ 8000","20","Pithampur (DHAR)"
"354","JBM AUTO LIMITED","Production Engineer","Diploma (Engineering)","12 months","₹ 9000","20","FARIDABAD (FARIDABAD)"
"355","JYOTHY LABS LIMITED","Security Guard","12th","12 months","₹ 8000","20","PITHAMPUR (INDORE)"
"356","JCB INDIA LIMITED","Electronics Engineering","Graduate(Enginnering)","12 months","₹ 10000","20","Mahinda SEZ  (JAIPUR)"
"357","RATAN EMPORIUM SECURITY SERVICES","Executive Procument","Graduate(Non-Engineering)","12 months","₹ 10000","20","indore (INDORE)"
"358","DECCAN TECHNOSECURITY & UTILITYSERVICES PRIVATE LIMITED","Electronics and Telecommunications","Graduate(Enginnering)","12 months","₹ 10000","20","indore (INDORE)"
"359","FLEXITUFF VENTURES INTERNATIONAL LIMITED","Cone Winding Operator - Manual & Assembly Winding | V 3.0","12th","12 months","₹ 8000","20","PITHAMPUR (DHAR)"
"360","BIO SPUN PRIVATE LIMITED","Cone Winding Operator - Manual & Assembly Winding | V 3.0","12th","12 months","₹ 8000","20","Pithampur  (DHAR)"
"361","FTA HSRP SOLUTIONS PRIVATE LIMITED","Computer Science and Engineering","Diploma (Engineering)","12 months","₹ 9000","20","BHOPAL (BHOPAL)"
"362","SHAPOORJI PALLONJI AND COMPANY PRIVATE LIMITED","Plumber","12th","12 months","₹ 8000","20","CHIPPANER (SEHORE)"
"363","SODEXO INDIA SERVICES PRIVATE LIMITED","Multi-Purpose Associate v 1.0","12th","12 months","₹ 8000","20","Mumbai (MUMBAI)"
"364","MARSHALL LOGISTICS LLP","Data Feeder ( All Logistics sub sector )","12th","12 months","₹ 8000","20","Bhopal (BHOPAL)"
"365","PSA CHEMICALS & PHARMACEUTICALS PRIVATE LIMITED","Utility Operator","12th","12 months","₹ 8000","20","Pithampur (DHAR)"
"366","BHASKAR INDUSTRIES PRIVATE LIMITED","Weaving Technician","12th","12 months","₹ 8000","20","bhopal (RAISEN)"
"367","ASSOCIATED ALCOHOLS AND BREWERIES LIMITED","Utility Operator","12th","12 months","₹ 8000","20","Indore (INDORE)"
"368","OSWAL COMPUTERS AND CONSULTANTS PRIVATE LIMITED","Web Developer_V2","12th","09 months","₹ 8000","20","Indore (INDORE)"
"369","BUREAU VERITAS INDIA PRIVATE LIMITED","Electrical and Mechanical Engineering","Diploma (Engineering)","12 months","₹ 9000","20","Ahmedabad (AHMADABAD)"
"370","BUREAU VERITAS INDIA PRIVATE LIMITED","Electrical and Mechanical Engineering","Diploma (Engineering)","12 months","₹ 9000","20","Hyderabad (HYDERABAD)"
"371","BUREAU VERITAS INDIA PRIVATE LIMITED","Electrical and Mechanical Engineering","Diploma (Engineering)","12 months","₹ 9000","20","Indore (INDORE)"
"372","DECCAN TECHNOSECURITY & UTILITYSERVICES PRIVATE LIMITED","Elderly Caretaker (Non-Clinical) V2.0","12th","09 months","₹ 8000","20","indore (INDORE)"
"373","LION FABRICS PRIVATE LIMITED","Loom Weaver and Twisting Operator (LWTO)","12th","12 months","₹ 8000","20","Sehore (SEHORE)"
"374","Hindusthan Urban Infrastructure Limited","Fitter","12th","12 months","₹ 8000","20","MANDIDEEP (RAISEN)"
"375","HEG LIMITED","Fitter","12th","12 months","₹ 8000","20","Bhopal (RAISEN)"
"376","SEL MANUFACTURING COMPANY LTD","Speed Frame Operator - Tenter and Doffer | V 3.0","12th","12 months","₹ 8000","20","MEHATWARA (SEHORE)"
"377","SODEXO INDIA SERVICES PRIVATE LIMITED","Steward","12th","12 months","₹ 8000","20","Pune (DHAR)"
"378","JAMNA AUTO INDUSTRIES LTD","Technician (Automotive Manufacturing)","12th","12 months","₹ 8000","20","MALANPUR (BHIND)"
"379","MAHLE ENGINE COMPONENTS INDIA PRIVATE LIMITED","Automotive Maintenance Technician- Mechanical","12th","12 months","₹ 8000","19","Pithampur (DHAR)"
"380","TATA PROJECTS LIMITED","Construction Fitter","12th","12 months","₹ 8000","19","SAGAR (SAGAR)"
"381","SHRIJI POLYMERS INDIA LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","19","Ujjain (UJJAIN)"
"382","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","19","DINDORI (DINDORI)"
"383","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","19","HOSHANGABAD (HOSHANGABAD)"
"384","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Secretarial Assistant","12th","12 months","₹ 8000","19","SARNI  (BETUL)"
"385","SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY PRIVATE LIMITED","Finisher and Packer AMH_Q2255 V 2.0","12th","12 months","₹ 8000","19","Pithampur (DHAR)"
"386","RAJDEEP ENTERPRISE","Helper - Construction Laboratory and Field Technician","12th","12 months","₹ 8000","19","Ahambdawad (AHMADABAD)"
"387","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","18","BHOPAL (BHOPAL)"
"388","SMART ENTERPRISES","Retail Sales Associate Version 2.0","12th","06 months","₹ 8000","18","sagar (SAGAR)"
"389","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","18","HOSHANGABAD (HOSHANGABAD)"
"390","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","18","BHOPAL (BHOPAL)"
"391","OSWAL COMPUTERS AND CONSULTANTS PRIVATE LIMITED","Software Developer Level 1","Graduate(Non-Engineering)","12 months","₹ 10000","18","Indore (INDORE)"
"392","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","18","BHOPAL (BHOPAL)"
"393","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","17","SEHORE (SEHORE)"
"394","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","17","GWALIOR (GWALIOR)"
"395","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Lineman","12th","12 months","₹ 8000","17","JABALPUR CITY (JABALPUR)"
"396","ALEXISS FACILITY SERVICES PRIVATE LIMITED","House Keeper (Corporate)","12th","09 months","₹ 8000","17","Indore (INDORE)"
"397","SATISFACTION PRODUCTS PRIVATE LIMITED","MHE Maintenance Executive","12th","12 months","₹ 8000","17","INDORE (INDORE)"
"398","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","17","SEHORE (SEHORE)"
"399","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","17","GWALIOR (GWALIOR)"
"400","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","17","SHIVPURI (SHIVPURI)"
"401","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (English)","12th","12 months","₹ 8000","17","BHOPAL (BHOPAL)"
"402","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","17","BHOPAL (BHOPAL)"
"403","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Secretarial Assistant","12th","12 months","₹ 8000","17","jabalpur (JABALPUR)"
"404","IFF OVERSEAS PRIVATE LTD","Sewing Machine Operator","12th","12 months","₹ 8000","17","Indore (INDORE)"
"405","PUSPA MISSION HOSPITAL MADICALSHOP UNIT OF DIOCESE OF UJJAIN","Trainee Staff Nurse","Diploma (Non-Engineering)","12 months","₹ 9000","17","Ujjain (UJJAIN)"
"406","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","16","GUNA (GUNA)"
"407","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","16","MANDLA (MANDLA)"
"408","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrician","12th","12 months","₹ 8000","16","SEONI (SEONI)"
"409","SAFEGUARD DETECTIVE & MANPOWER SOLUTIONS PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","16","Hoshangabad (HOSHANGABAD)"
"410","TATA PROJECTS LIMITED","Helper Fabrication","12th","12 months","₹ 8000","16","SAGAR  (SAGAR)"
"411","SMRADDHI ASSOCIATES","Customer Care Executive-Domestic- Voice_V3","12th","12 months","₹ 8000","16","Indore (INDORE)"
"412","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Accounts Executive","Graduate(Non-Engineering)","12 months","₹ 10000","16","Chachai (ANUPPUR)"
"413","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","16","SHIVPURI (SHIVPURI)"
"414","DURGESH INDUSTRIAL SECURITY PRIVATE LIMITED","Elderly Caretaker (Non-Clinical) V2.0","12th","09 months","₹ 8000","16","Betul (BETUL)"
"415","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","16","BHOPAL (BHOPAL)"
"416","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","16","GWALIOR (GWALIOR)"
"417","MAP AUTO LIMITED","Technician Fabricator","12th","12 months","₹ 8000","16","MALANPUR (BHIND)"
"418","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","15","GUNA (GUNA)"
"419","KOHINOOR ELASTICS P LTD","Knitting Machine Operator Warp Knitting | V 3.0","12th","12 months","₹ 8000","15","Indore (INDORE)"
"420","YASH TECHNOLOGIES PRIVATE LIMITED","IT Support Executive","Graduate(Non-Engineering)","12 months","₹ 10000","15","Indore (INDORE)"
"421","TEXMO PIPES AND PRODUCTS LIMITED","Marketing Associate Training","Graduate(Non-Engineering)","06 months","₹ 10000","15","BURAHNPUR (BURHANPUR)"
"422","RAJ SECURITY FORCE LABOUR SUPPLIER PRIVATE LIMITED","House Keeper (Hospital)","12th","12 months","₹ 8000","15","JABALPUR (JABALPUR)"
"423","JYOTHY LABS LIMITED","House Keeper (Corporate)","12th","09 months","₹ 8000","15","PITHAMPUR (INDORE)"
"424","RAJ SECURITY FORCE LABOUR SUPPLIER PRIVATE LIMITED","House Keeper (Hospital)","12th","12 months","₹ 8000","15","BHOPAL (BHOPAL)"
"425","GVPR ENGINEERS LIMITED","Helper Mason","12th","12 months","₹ 8000","15","KHANDWA (KHANDWA)"
"426","GVPR ENGINEERS LIMITED","Helper Mason","12th","12 months","₹ 8000","15","BHIKANGAON  (KHARGONE)"
"427","SANTOSH  CHATURVEDI","Human Resource Training","Graduate(Non-Engineering)","06 months","₹ 10000","15","Bhopal  (BHOPAL)"
"428","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Mechanical Engineering","Diploma (Engineering)","12 months","₹ 9000","15","Dongalia (KHANDWA)"
"429","KURLON LIMITED","Material Handling Equipment Mechanic-cum-Operator","12th","12 months","₹ 8000","15","bhind (BHIND)"
"430","SIGNET INDUSTRIES LIMITED","Material Handling Equipment Mechanic-cum- Operator","12th","12 months","₹ 8000","15","PITHAMPUR (DHAR)"
"431","CHIRANJI  LAL","Mate (Mines)","12th","12 months","₹ 8000","15","Sihora (JABALPUR)"
"432","RMJ MOTORS PRIVATE LIMITED","Mechanic Automobile (Advanced Petrol Engine)","12th","12 months","₹ 8000","15","Bhopal (BHOPAL)"
"433","CHIRANJI  LAL","Operator Material Handling Equipments at Raw Material Handling Plant","12th","12 months","₹ 8000","15","Sihora (JABALPUR)"
"434","MONDELEZ INDIA FOODS PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","15","MALANPUR (BHIND)"
"435","NIVRATI ENTERPRISES","Packer","12th","12 months","₹ 8000","15","Mandideep (RAISEN)"
"436","KBGM DEVELOPERS PRIVATE LIMITED","Accounts Executive","Graduate(Non-Engineering)","12 months","₹ 10000","15","Datia (DATIA)"
"437","BUREAU VERITAS INDIA PRIVATE LIMITED","Counstruction Technology and Management","Diploma (Engineering)","12 months","₹ 9000","15","Ahmedabad (AHMADABAD)"
"438","TRIMULA INDUSTRIES LIMITED","Assistant Rigger - Heavy Material","12th","12 months","₹ 8000","15","SINGRAULI (SINGRAULI)"
"439","DILIP BUILDCON LIMITED","Assistant Mason","12th","12 months","₹ 8000","15","Rewa (REWA)"
"440","MAHIMA FIBRES PRIVATE LIMITED","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","15","KASRAWAD (KHARGONE)"
"441","VISHALFAB (INDIA) PRIVATE LIMITED","Automotive CNC Machining Technician","12th","12 months","₹ 8000","15","Indore (INDORE)"
"442","NCC LIMITED","Assistant Bar Bender & Steel Fixer","12th","12 months","₹ 8000","15","Kotwa Atraila (REWA)"
"443","LARSEN & TOUBRO LIMITED","Assistant Bar Bender & Steel Fixer","12th","12 months","₹ 8000","15","Sehore (SEHORE)"
"444","MAGADH PRECISION EQUIPMENT LTD","Assistant - Machinist - Iron and Steel","12th","12 months","₹ 8000","15","dewas (DEWAS)"
"445","SHAKTI PUMPS (INDIA) LTD UNIT NO.3","Assembly Line Operator","12th","12 months","₹ 8000","15","Pithampur Industrial Hub (DHAR)"
"446","TATA PROJECTS LIMITED","Helper Fabrication","12th","12 months","₹ 8000","15","BHIND (BHIND)"
"447","INNOVISION LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","15","Gulbai Tekra (AHMADABAD)"
"448","APOLLO RAJSHREE HOSPITALS PRIVATE LIMITED","General Duty Assistant V2.0","12th","12 months","₹ 8000","15","Indore (INDORE)"
