"#","Establishment Name","Training Course","Min. Qualification for Course","Training Duration (Months)","Prescribed Min. Stipend (Monthly)","No. of Vacancies","Training Location (District)"
"954","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Computer Operator and Programming Assistant","12th","12 months","₹ 8000","7","CHHINDWARA (CHHINDWARA)"
"955","EFFOTEL HOTEL","kitchen Helper","12th","12 months","₹ 8000","7","Indore (INDORE)"
"956","M P Entertainment and Developers Pvt. Ltd.","Security Guard","12th","12 months","₹ 8000","7","INDORE (INDORE)"
"957","MADHYA PRADESH POORV KSHETRA VIDYUT VITARAN COMPANY LTD","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","6","SATNA (SATNA)"
"958","MAHIMA FIBRES PRIVATE LIMITED","Draw Frame Operator | V 3.0","12th","12 months","₹ 8000","6","KASRAWAD (KHARGONE)"
"959","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrical Engineering","Diploma (Engineering)","12 months","₹ 9000","6","Corporate Office  (INDORE)"
"960","HINDUSTAN UNILEVER LIMITED","Electrician","12th","12 months","₹ 8000","6","CHHINDWARA (CHHINDWARA)"
"961","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","6","SHEOPUR (SHEOPUR)"
"962","BIOURJA INDIA INFRA PRIVATE LIMITED","Documentation & Claims Management Executive","12th","12 months","₹ 8000","6","Indore (INDORE)"
"963","AB TECHNICAL SERVICES PRIVATE LIMITED","Documentation & Claims Management Executive","12th","12 months","₹ 8000","6","Indore (INDORE)"
"964","KEC INTERNATIONAL LIMITED","Chargehand Shuttering Carpenter","12th","12 months","₹ 8000","6","SATNA (SATNA)"
"965","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","6","jabalpur (JABALPUR)"
"966","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Civil Engineering","Diploma (Engineering)","12 months","₹ 9000","6","BHOPAL (BHOPAL)"
"967","NAVAYUGA ENGINEERING COMPANY LIMITED","Helper Electrician","12th","12 months","₹ 8000","6","Khirkiya (HARDA)"
"968","INNOVISION LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","6","Noida (GAUTAM BUDDHA NAGAR)"
"969","RATAN EMPORIUM SECURITY SERVICES","Guest Service Associate (Housekeeping) v 2.0","12th","12 months","₹ 8000","6","indore (INDORE)"
"970","ZENITH EXIM PRIVATE LIMITED","General Assistant- Furniture and Fittings Installation","12th","06 months","₹ 8000","6","INDORE (INDORE)"
"971","GVPR ENGINEERS LIMITED","Fabricator","12th","12 months","₹ 8000","6","KHANDWA (KHANDWA)"
"972","ULTRATECH CEMENT LIMITED","Electrician (Mines)","12th","12 months","₹ 8000","6","SHAHDOL (SHAHDOL)"
"973","CG POWER AND INDUSTRIAL SOLUTIONS LIMITED","Electrician","12th","12 months","₹ 8000","6","malanpur (BHIND)"
"974","TECHFORCE COMPOSITES PRIVATE LIMITED","Fitter (Steel Plant)","12th","12 months","₹ 8000","6","INDORE (INDORE)"
"975","SURYA ROSHNI LTD","Fitter (Steel Plant)","12th","12 months","₹ 8000","6","MALANPUR (BHIND)"
"976","DEE VEE PROJECTS LIMITED","Food Production (Vegetarian)","12th","12 months","₹ 8000","6","SINGRAULI (SINGRAULI)"
"977","MEGHA ENGINEERING & INFRASTRUCTURES LIMITED","Construction Electrician - LV","12th","12 months","₹ 8000","6","Alirajpur (ALIRAJPUR)"
"978","DAWN ENGINEERS","CNC Programmer cum Operator","12th","12 months","₹ 8000","6","BHOPAL (BHOPAL)"
"979","RATAN EMPORIUM SECURITY SERVICES","Commis Chef V 2.0","12th","12 months","₹ 8000","6","indore (INDORE)"
"980","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Accounts Executive","Graduate(Non-Engineering)","12 months","₹ 10000","6","Sirmour (REWA)"
"981","OSSWAL BUSINESS SERVICES PRIVATE LIMITED","Associate Customer Care-Voice & Non-Voice_V3","12th","09 months","₹ 8000","6","Indore (INDORE)"
"982","KATARIA INDUSTRIES PRIVATE LIMITED","Assistant Fitter – Levelling, Alignment & Balancing","12th","12 months","₹ 8000","6","RATLAM (RATLAM)"
"983","RATAN EMPORIUM SECURITY SERVICES","Assistant Front Office Manager","12th","12 months","₹ 8000","6","indore (INDORE)"
"984","XENA CORONUS HEALTHCARE PRIVATE LIMITED","Assistant- Maintenance (Pharma, Biologics and Medical Device Facility): Mechanical and Fitting","12th","12 months","₹ 8000","6","REWA (REWA)"
"985","KATARIA INDUSTRIES PRIVATE LIMITED","Assistant - Electrician","12th","12 months","₹ 8000","6","RATLAM (RATLAM)"
"986","JAI SHRIRAM WORKS","Packer","12th","12 months","₹ 8000","6","malanpur bhind (BHIND)"
"987","PITAMBARA INDUSTRIAL SERVICE","Packer","12th","12 months","₹ 8000","6","bhind (BHIND)"
"988","M G FOOD PRODUCT","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","6","INDORE (INDORE)"
"989","MADHYA PRADESH POWER GENERATING COMPANY LIMITED","Power Electrician","12th","12 months","₹ 8000","6","Sirmour (REWA)"
"990","SURYA ROSHNI LTD","Process Plant Operator","12th","12 months","₹ 8000","6","MALANPUR (BHIND)"
"991","KEC INTERNATIONAL LIMITED","Reinforcement Fitter","12th","12 months","₹ 8000","6","Rewa (REWA)"
"992","CHIRAYU PHARMACEUTICALS","Quality Assurance Assistant","12th","12 months","₹ 8000","6","GWALIOR (GWALIOR)"
"993","GRANUAL ORGANIC AGRICULTURE PRIVATE LIMITED","Sales Person (Retail)","12th","12 months","₹ 8000","6","makrconiya (SAGAR)"
"994","PUNEET APPARELS PRIVATE LIMITED","Sales Person (Retail)","12th","12 months","₹ 8000","6","Indore (M.P) (INDORE)"
"995","PRIMEONE WORK FORCE PRIVATE LIMITED","HR Executive  (Payroll and Employee Data Management)","Graduate(Non-Engineering)","12 months","₹ 10000","6","BHOPAL (BHOPAL)"
"996","SENGAR SECURITY AND LABOUR SERVICES PRIVATE LIMITED","HR Executive  (Payroll and Employee Data Management)","Graduate(Non-Engineering)","12 months","₹ 10000","6","Gwalior (GWALIOR)"
"997","GOYAL DEVELOPERS","Housekeeping Trainee v 2.0","12th","12 months","₹ 8000","6","INDORE (INDORE)"
"998","SURYA ROSHNI LTD","Industrial Electrician","12th","12 months","₹ 8000","6","MALANPUR (BHIND)"
"999","RATAN EMPORIUM SECURITY SERVICES","Kitchen Steward V 2.0","12th","12 months","₹ 8000","6","Bhopal (BHOPAL)"
"1000","MADHYA PRADESH MADHYA KSHETRA VIDUT VITARAN COMPANY LIMITED","Lineman","12th","12 months","₹ 8000","6","SHEOPUR (SHEOPUR)"
